product_name,product_price,review,category
Xmobile 20W JP331,490.000₫,sao công suất sạc ko dây là 15w mà tôi sạc chậm quá chậm cứ như đang sạc 5w vậy nhỉ,backup-charger
Xmobile 20W JP331,490.000₫,Giá 455 nhưng nhân viên bán cho khách giá 500 Nhưng ghi hoá đơn trên trên thống là 2 sản phẩm sạc giá 390+ đồng hồ trẻ em giá 110 Thất vong về ông quản lý của cửa hàng,backup-charger
Xmobile 20W JP331,490.000₫,"Bị lỗi không vô pin , sạc qua đêm cũng không vô . Ra thế giới đổi cục mới thì vẫn bị y chang ạ . Cần hỗ trợ đổi sản phẩm khác nha",backup-charger
Xmobile 20W JP331,490.000₫,"Có sạc không dây 15W khá tiện lợi. Mình mua cục đầu tiên thì bị lỗi, cắm sạc qua đêm mà chỉ có 1 đèn báo xanh. TGDĐ đổi cho mình cục mới, nhưng sạc qua đêm pin chỉ hiển thị 3 đèn báo xanh",backup-charger
Xmobile 20W JP331,490.000₫,Lần đầu sd thì sạc đt nhanh vô pin bà cục sạc cũng lâu hết pin nhưng qua 2 ngày sau thì sạc nhanh hết dung lượng mà đt thì lâu vô pin quá v ạ,backup-charger
Xmobile 20W JP331,490.000₫,Mới mua thì dùng ok lắm hỏng biết lâu dài thì ra sao,backup-charger
Xmobile 20W JP331,490.000₫,rất ok,backup-charger
Xmobile 30W Y75,400.000₫,Trải nghiệm sau 1 ngày Sạc dự phòng 30w này những giây đầu lên sạc nhanh sau đó không còn sạc nhanh. Sạc vào pin dự phòng với sạc 45w theo máy Samsung thì gần 4 tiếng.,backup-charger
Anker Zolo 30W A1689 kèm Cáp Type C,760.000₫,,backup-charger
Anker MagGo 27W A1654,1.370.000₫,Sạc chất lượng ổn định mát máy,backup-charger
Anker MagGo 27W A1654,1.370.000₫,Pin đẹp màng hình hiển thị chính xác sạc nhanh,backup-charger
Hydrus 22.5W KP223 kèm Cáp Lightning và Cáp Type C,390.000₫,Hết thời gian đổi trả 7 ngày là nó hư. Sạc không vào pin nữa,backup-charger
Hydrus 22.5W KP223 kèm Cáp Lightning và Cáp Type C,390.000₫,Sử dụng được 1 tháng là hư sạc không vào nữa.,backup-charger
Hydrus 22.5W KP223 kèm Cáp Lightning và Cáp Type C,390.000₫,"sản phẩm kém, sài 2 tuần hư.",backup-charger
Hydrus 10.5W K108 kèm Cáp Lightning - Type C - Micro,230.000₫,Mới đặt về còn trong 7 ngày bảo hành mà dag sạc thì bị ngắc sạc tự tắt,backup-charger
Hydrus 10.5W K108 kèm Cáp Lightning - Type C - Micro,230.000₫,Sạc cục pin dự p cứ số 25 mãi,backup-charger
Hydrus 10.5W K108 kèm Cáp Lightning - Type C - Micro,230.000₫,Sao cắm sạc bằng dây sạc của iPhone thì ko lên điện,backup-charger
Hydrus 10.5W K108 kèm Cáp Lightning - Type C - Micro,230.000₫,2 ngày sử dụng và cảm thấy ổn. Màu hồng nam tính lắm,backup-charger
Anker 30W A1384 kèm Cáp Type C,715.000₫,Không sử dụng cũng bị tuột pin,backup-charger
Anker 30W A1384 kèm Cáp Type C,715.000₫,Sản phẩm dùng ok lắm sẽ giới thiệu mn,backup-charger
Anker 30W A1384 kèm Cáp Type C,715.000₫,Hỗ trợ giúp tôi dùng cục sạc và dây gì để nạp cho cục sạc với,backup-charger
Anker 30W A1384 kèm Cáp Type C,715.000₫,"Nạp năng lượng cho nó cũng nhanh, sạc cho điện thoại cũng nhanh, đúng là tiền nào của đó, đáng đồng tiền, bát gạo...",backup-charger
Anker 30W A1384 kèm Cáp Type C,715.000₫,,backup-charger
Anker 30W A1384 kèm Cáp Type C,715.000₫,,backup-charger
Hydrus 22.5W K98 kèm Cáp Lightning và Cáp Type C,290.000₫,"Vừa mới mua 09/02 mà 06/03 động vào đã thấy hỏng rồi. Sạc kích pin thì vẫn lên, nhưng không sạc được điện thoại. Coi như bỏ",backup-charger
Anker Zolo 30W A1685 kèm Cáp Type C,790.000₫,"Sản phẩm quá tệ, mới vừa mua chiều nay. Sạc cho sạc dự phòng thì chập chờn, sản phẩm nằm im thì 4 đèn sáng im còn lấy tay cầm lên 1 phát là nháy đèn để sạc tiếp. Sạc cho 2 thiết bị cùng lần là iPhone 16 Promax với Airpod Pro gen 2 thì không ổn, mình sử dụng Airpod Pro gen 2 là sạc không dây còn iPhone 16 Promax thì sạc cáp type C có sẵn. Nói chung dung lượng Pin của sạc dự phòng quá ít, đã ít một phần không được ổn định chút.",backup-charger
Baseus 65W Free2Pull PPLSC01-20 kèm cáp Type C,1.000.000₫,Đẹp mê ly dây rút tiện lợi,backup-charger
Baseus 65W Free2Pull PPLSC01-20 kèm cáp Type C,1.000.000₫,"sp chất lượng tốt đúng như mong đợi, tiện lợi khi di chuyển. sạc vào sạc ra rất nhanh nhiệt độ mát ổn định. cảm ơn tgdd",backup-charger
Baseus 65W Free2Pull PPLSC01-20 kèm cáp Type C,1.000.000₫,Cho là tạm ổn,backup-charger
Baseus 65W Free2Pull PPLSC01-20 kèm cáp Type C,1.000.000₫,Mình mới mua xong xạc ok 22ultra có sach siêu nhanhtóm lại hài lòng,backup-charger
Anker Zolo 30W A1680 kèm Cáp Lightning và Type C,690.000₫,,backup-charger
Baseus 30W Free2Pull PPSS1030 kèm Cáp Type C,590.000₫,,backup-charger
Anker Prime Fusion 65W A1339 kèm Cáp Type C,1.675.000₫,Tính ra cũng k thần thánh là mấy..lúc nhận k xem kỉ vỏ sạc rầy vài vết nhỏ..mình sạc cổng c2 mà từ 6h22ppin dphong là 84%.. pin đt là 3%mà cho đến 8h10pthì pin dphong còn 49% pin đt 100%....vậy là pin sạc cho máy samsung đc 2 lần ..mà lâu quá trời.đổi lại nó rất đẹp.cục AvA 20000 của mình sạc nhah mà đc nhiều lần.thôi trãi nghiệm vậy...,backup-charger
AVA+ 10.5W Q7,270.000₫,Ko sạc bằng cổng type C đc,backup-charger
AVA+ 10.5W Q7,270.000₫,Mình mới mua hồi chiều hôm qua tại TGDD nhưng hôm nay test thử sạc không vô.Đổi sang mẫu khác đc không ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,Ngày 24 em có mua pin dự phòng này mà bị lỗi sạc lúc vào lúc không thì ngày mai em đổi lại loại khác được không,backup-charger
AVA+ 10.5W Q7,270.000₫,Trên này giá 280 mà ra cửa hàng mua giá 400 v ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,"Tôi đã mua và liên hệ với cửa hàng đổi 1 lần rồi về sạc vẫn không vào, thâm chí thay luôn cả cóc và cáp sạc, sạc cả ngày pin không lên nổi 2 vạch",backup-charger
AVA+ 10.5W Q7,270.000₫,"1 sao cho chất lượng của sản phẩm. 5 sao cho TGDD.Khuyên mn nếu quan tâm sạc dự phòng giá rẻ thì né con này ra. Được cái dung lượng pin cao thôi chứ mọi thứ đều tệ, sạc khá chậm. Mình đã đem ra TGDD 2 lần vì xài được 12 ngày tự dựng cục sạc hư luôn.Cũng may TGDD có CS hoàn trả phí 10% tháng đầu tiên, chứ đổi hoài cục này chắc tức điên.",backup-charger
AVA+ 10.5W Q7,270.000₫,em sạc Type C không được ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,"Đổi sạc ngày 18/1,ngày 20/1 xài thì chiều về bị hư ko lên đèn ko sạc được,cắm sạc thì nó hiện 1 cục chứ ko lên pin.Shop tư vấn giúp em vs ạ",backup-charger
AVA+ 10.5W Q7,270.000₫,Sạc để 20.000mAh mà sạc đt pin 5000 được có 1 lần là hết pin,backup-charger
AVA+ 10.5W Q7,270.000₫,"Mình mới mua đc 5 ngày muốn đổi sang loại khác đc ko ạ, loại này sạc chậm quá",backup-charger
AVA+ 10.5W Q7,270.000₫,Em muốn đổi màu đen sang màu trắng có được không ạ và em phải phụ phí thêm bao nhiêu nữa ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,"Mình mới mua sạc dự phòng AVA+ 20000mAh về mới test sạc điện thoại thử vẫn ngon lành, chưa có dấu hiệu bị hư ở đâu cả còn ngon lắm",backup-charger
AVA+ 10.5W Q7,270.000₫,"Săn được 160k, sử dụng rất tốt.",backup-charger
AVA+ 10.5W Q7,270.000₫,Nhân viên làm ăn rất tệ mua 2 cục .Sạc trắng và đen giờ trong lịch sử mua hàng ghi 2 trắng. Nhân viên làm ăn thiếu ý thức nhất là ở bến lứcGiờ hư ra đổi không được lại còn mất tiền,backup-charger
AVA+ 10.5W Q7,270.000₫,Săn được 187k pin trâu,backup-charger
AVA+ 10.5W Q7,270.000₫,Pin sạc không vào. Cho tôi hỏi hàng mua cũ lại thì bảo hành có mất phí không,backup-charger
AVA+ 10.5W Q7,270.000₫,Cho em hỏi là chính sách bảo hàng của sạc này là bao lâu ạ .Em cảm ơn,backup-charger
AVA+ 10.5W Q7,270.000₫,Sao ở thế giới di động bán tới 350k vậy,backup-charger
AVA+ 10.5W Q7,270.000₫,"Sạc được nha , mà cho em hỏi sạc để quá lâu có chay pin ko , sạc đầy pin r để quá lâu có chay pin ko",backup-charger
AVA+ 10.5W Q7,270.000₫,Sạc chậm,backup-charger
AVA+ 10.5W Q7,270.000₫,Không có sạc dc bằng typec,backup-charger
AVA+ 10.5W Q7,270.000₫,"Sạc không vào máy điện thoại, mong được hỗ trợ, chỉ báo đã kết nối cổng usb",backup-charger
AVA+ 10.5W Q7,270.000₫,Mới mua vê mà ghim sạc đt nó hiện như hình .mong dc hỗ trợ,backup-charger
AVA+ 10.5W Q7,270.000₫,Mới mua hôm qua ở tgdd 450k sao giá chênh lệch vậy ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,Mình mới mua về dùng cũng ok mà sao báo thời gian sạc là 9 đến 11 tiếng mà mình sạc hơn 1 ngày vẫn chưa đầy Pin,backup-charger
AVA+ 10.5W Q7,270.000₫,Mình mới mua về dùng cũng ok mà sao báo thời gian sạc là 9 đến 11 tiếng mà mình sạc hơn 1 ngày vẫn chưa đầy,backup-charger
AVA+ 10.5W Q7,270.000₫,Hàng dùng OK . Pin sạc ổn định chất lượng lắm Team,backup-charger
AVA+ 10.5W Q7,270.000₫,"2 cổng ra USB, cổng ra TypeC không có.",backup-charger
AVA+ 10.5W Q7,270.000₫,Sạc tốt mọi người nên mua nhé,backup-charger
AVA+ 10.5W Q7,270.000₫,Tốt,backup-charger
AVA+ 10.5W Q7,270.000₫,Sản phẩm tuyệt vời. Sạc 10W thấy khá nhanh mình sạc cho redmi 12. Dung lượng pin cao. Mình sạc cho redmi 12 3 lần mà sạc dự phòng vẫn trưa hết pin . Mua lúc giảm giá có 390k,backup-charger
AVA+ 10.5W Q7,270.000₫,Sản phẩm tốt,backup-charger
AVA+ 10.5W Q7,270.000₫,"K dùng đc, hỗ trợ mình với xxxx141920",backup-charger
AVA+ 10.5W Q7,270.000₫,đang trong quá trình sử dụng,backup-charger
AVA+ 10.5W Q7,270.000₫,sản phẩm xài rất tốt,backup-charger
AVA+ 10.5W Q7,270.000₫,Ok,backup-charger
AVA+ 10.5W Q7,270.000₫,Sản phẩm dùng OK lắm ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,Good,backup-charger
AVA+ 10.5W Q7,270.000₫,"Tốt, xài ok",backup-charger
AVA+ 10.5W Q7,270.000₫,"Sạc lâu đầy, với lại nhân vien tư vấn nói lõi phải polymer mà trên web lại nói là polymer, hơi khó hiểu",backup-charger
AVA+ 10.5W Q7,270.000₫,Tốt,backup-charger
AVA+ 10.5W Q7,270.000₫,"nv tư vấn là có 2 đầu ra USB,1 đầu vào micro,1 đầu vào type C, lấy đâu ra đầu ra type C đâu",backup-charger
AVA+ 10.5W Q7,270.000₫,Ổn,backup-charger
AVA+ 10.5W Q7,270.000₫,,backup-charger
AVA+ 10.5W Q7,270.000₫,Không có sạc dc bằng typec,backup-charger
AVA+ 10.5W Q7,270.000₫,"Sạc không vào máy điện thoại, mong được hỗ trợ, chỉ báo đã kết nối cổng usb",backup-charger
AVA+ 10.5W Q7,270.000₫,Mới mua vê mà ghim sạc đt nó hiện như hình .mong dc hỗ trợ,backup-charger
AVA+ 10.5W Q7,270.000₫,Mới mua hôm qua ở tgdd 450k sao giá chênh lệch vậy ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,Mình mới mua về dùng cũng ok mà sao báo thời gian sạc là 9 đến 11 tiếng mà mình sạc hơn 1 ngày vẫn chưa đầy Pin,backup-charger
AVA+ 10.5W Q7,270.000₫,Mình mới mua về dùng cũng ok mà sao báo thời gian sạc là 9 đến 11 tiếng mà mình sạc hơn 1 ngày vẫn chưa đầy,backup-charger
AVA+ 10.5W Q7,270.000₫,Hàng dùng OK . Pin sạc ổn định chất lượng lắm Team,backup-charger
AVA+ 10.5W Q7,270.000₫,"2 cổng ra USB, cổng ra TypeC không có.",backup-charger
AVA+ 10.5W Q7,270.000₫,Sạc tốt mọi người nên mua nhé,backup-charger
AVA+ 10.5W Q7,270.000₫,Tốt,backup-charger
AVA+ 10.5W Q7,270.000₫,Sản phẩm tuyệt vời. Sạc 10W thấy khá nhanh mình sạc cho redmi 12. Dung lượng pin cao. Mình sạc cho redmi 12 3 lần mà sạc dự phòng vẫn trưa hết pin . Mua lúc giảm giá có 390k,backup-charger
AVA+ 10.5W Q7,270.000₫,Sản phẩm tốt,backup-charger
AVA+ 10.5W Q7,270.000₫,"K dùng đc, hỗ trợ mình với xxxx141920",backup-charger
AVA+ 10.5W Q7,270.000₫,đang trong quá trình sử dụng,backup-charger
AVA+ 10.5W Q7,270.000₫,sản phẩm xài rất tốt,backup-charger
AVA+ 10.5W Q7,270.000₫,Ok,backup-charger
AVA+ 10.5W Q7,270.000₫,Sản phẩm dùng OK lắm ạ,backup-charger
AVA+ 10.5W Q7,270.000₫,Good,backup-charger
AVA+ 10.5W Q7,270.000₫,"Tốt, xài ok",backup-charger
AVA+ 10.5W Q7,270.000₫,"Sạc lâu đầy, với lại nhân vien tư vấn nói lõi phải polymer mà trên web lại nói là polymer, hơi khó hiểu",backup-charger
Xmobile 22.5W JP325 kèm Cáp Lightning và Cáp Type C,450.000₫,"tôi cung mua rồi đi đổi 2 lần thu phí đổi trả, nên bỏ luôn, bán đồ kém chất lượng thế, sạc không lên pin mà thêm bực tức, dẹp cho nhẹ người",backup-charger
Xmobile 22.5W JP325 kèm Cáp Lightning và Cáp Type C,450.000₫,"Mua chưa dc 1 tuần đã phải đổi một lần, giờ cục mới đổi cũng cb hư tiếp",backup-charger
Xmobile 22.5W JP325 kèm Cáp Lightning và Cáp Type C,450.000₫,,backup-charger
Xmobile 22.5W M12-3,530.000₫,Tốn thêm tiền để được sạc mafsage mà sạc cục này sạc mafsage vừa vô lâu vừa nóng lại còn mắc khuyên mn nên mua sạc bình thường thôi đừng mua mafsage,backup-charger
Xmobile 20W T156,530.000₫,Mình có mua sạc lúc sáng nay.nhưng mua màu đen.giờ muốn đổi sang màu khác được không,backup-charger
Xmobile 20W T156,530.000₫,Sạc không đầy được. Hơn 5 tiếng mà chỉ lên có 4 đèn. Còn 1 đèn thì không lên.,backup-charger
Xmobile 20W T156,530.000₫,sao sạc chỉ hiện đầy 4 đèn mà ko phải 5,backup-charger
Xmobile 20W T156,530.000₫,Em cũng mới mua về mà chỉ được 4 đèn . Có phải lỗi gì k ạ,backup-charger
Xmobile 20W T156,530.000₫,Mới mua về sạc mãi chỉ hiện thị 4 đèn là đang bị lỗi hay sao vậy ạ,backup-charger
Xmobile 20W T156,530.000₫,"Đã sạc thử cho ip16promax , 8/10 so với sạc cáp, cho ip11 thì lại chậm hơn, sạc lại cho nó thì dùng cục 5v3a là ok",backup-charger
Xmobile 20W T156,530.000₫,Sạc không dây ghi 15w mà sạc như 5w tệ,backup-charger
Xmobile 20W T156,530.000₫,Lúc mua nói sạc được 5 cục pin mua về sạc được 4 cục thôi,backup-charger
Xmobile 20W T156,530.000₫,"Mua về cắm sạc hơn 5 tiếng như thông tin công bố mà chỉ sáng 4 đèn là hết, đèn cuối cùng ko sáng, đem đổi lại cục mới vẫn như vậy",backup-charger
Xmobile 20W T156,530.000₫,Dùng được vài tháng ổn giờSạc vẫn báo đèn nháy liên tục mà không vào pin,backup-charger
Xmobile 20W T156,530.000₫,Pin mua về dùng nóng quá,backup-charger
Xmobile 20W T156,530.000₫,"Sạc chai pin rồi, dùng được nhưng hết pin nhanh chóng cho 1/2 iPhone 14 pro",backup-charger
Xmobile 20W T156,530.000₫,Đẹp nha nhìn ưng vãi,backup-charger
Xmobile 20W T156,530.000₫,"Chị nhân viên rất dễ thương luôn, tư vấn nhiệt tình, phụ vụ thì rất ư là thích",backup-charger
Xmobile 20W T156,530.000₫,"Sạc có dây thì 20w thì sạc 1h20, còn sạc k dây bảo là 15w mà sạc như rùa bò tới 3h mới đây pin lúc vô lúc k vô nửa chứ",backup-charger
Xmobile 20W T156,530.000₫,"Mau nóng dữ lắm, sạc dự phòng em sạc đầy để túi ko dùng mà qua hôm sau nó cạn sạch pin, ảo quá",backup-charger
Xmobile 20W T156,530.000₫,"Tại sao trong ảnh và thông tin công bố đều sạc đầy sáng tất cả 5 đèn. Mà tôi mới mua 2 ngày về cắm sạc hơn 5 tiếng như thông tin công bố mà chỉ sáng 4 đèn là hết, đèn cuối cùng ko sáng",backup-charger
Xmobile 20W T156,530.000₫,Tốt trong tầm giá. Phải dùng ốp lưng có hỗ trợ sạc magsafe thì sạc sẽ ko bị nóng.,backup-charger
Xmobile 20W T156,530.000₫,Cũng tốt chỉ có sạc không dây hơi nóng tí cũng chấp nhận được,backup-charger
Xmobile 20W T156,530.000₫,Cảm thấy ok,backup-charger
Xmobile 20W T156,530.000₫,"Sạc k dây thì lâu vào , sạc dây thì mới 1 tháng đã hư rồi",backup-charger
Xmobile 20W T156,530.000₫,"Xai ok lắm,chỉ hoi nóng xiu thoi.",backup-charger
Xmobile 20W T156,530.000₫,"Cho em hỏi hiện tại cục sạc của em đang sạc tự nhiên bị cháy ở chui sạc , còn bảo hành không biết là em có đổi được cái khác với tình trạng cục sạc bị thế này ko ạ",backup-charger
Xmobile 20W T156,530.000₫,Ok,backup-charger
Xmobile 20W T156,530.000₫,Thật tuyệt vời,backup-charger
Xmobile 20W T156,530.000₫,"Dung lượng để sạc bin đầy cho máy iPhone pro max nó chỉ đạt được 1,5 lần chứ không được hai lần sạc 100% như đã tư vấn và khi sạc pin máy và sạc điều rất nóng nên mình không dùng nữa...",backup-charger
Xmobile 20W T156,530.000₫,Quá ok,backup-charger
Xmobile 20W T156,530.000₫,2hhshs,backup-charger
Xmobile 20W T156,530.000₫,Dùng ok. Sạc hít tốt vs các dòng hỗ trợ magsef,backup-charger
Xmobile 20W T156,530.000₫,"Sạc không dây rất chậm, có thể đổi trả sản phẩm hay không",backup-charger
Xmobile 20W T156,530.000₫,"sử dụng tốt, sạc nhanh, cầm khá vừa tay",backup-charger
Xmobile 20W T156,530.000₫,Dùng nóng và nhanh chai pin đt,backup-charger
Xmobile 20W T156,530.000₫,Sản phẩm sài tốt ạ,backup-charger
Xmobile 20W T156,530.000₫,Cũng được,backup-charger
Xmobile 20W T156,530.000₫,Bán cục sạc mà không có dây sạc phải tốn thêm tiền mua dây 80k .,backup-charger
Xmobile 20W T156,530.000₫,"Mình mới mua hồi chiều, về sạc pin hơn 5 tiếng rồi mà thấy chỉ lên 4 chấm đèn, bóng đèn thứ 5 k thấy sáng. Này là bị lỗi rồi phải không ạ",backup-charger
Xmobile 20W T156,530.000₫,Mua đc 1 ngày có đổi trả sang loại khác đc ko,backup-charger
Xmobile 20W T156,530.000₫,Sử dụng tốt,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,"Sạc k dây thì lâu vào , sạc dây thì mới 1 tháng đã hư rồi",backup-charger
Xmobile 20W T156,530.000₫,"Xai ok lắm,chỉ hoi nóng xiu thoi.",backup-charger
Xmobile 20W T156,530.000₫,"Cho em hỏi hiện tại cục sạc của em đang sạc tự nhiên bị cháy ở chui sạc , còn bảo hành không biết là em có đổi được cái khác với tình trạng cục sạc bị thế này ko ạ",backup-charger
Xmobile 20W T156,530.000₫,Ok,backup-charger
Xmobile 20W T156,530.000₫,Thật tuyệt vời,backup-charger
Xmobile 20W T156,530.000₫,"Dung lượng để sạc bin đầy cho máy iPhone pro max nó chỉ đạt được 1,5 lần chứ không được hai lần sạc 100% như đã tư vấn và khi sạc pin máy và sạc điều rất nóng nên mình không dùng nữa...",backup-charger
Xmobile 20W T156,530.000₫,Quá ok,backup-charger
Xmobile 20W T156,530.000₫,2hhshs,backup-charger
Xmobile 20W T156,530.000₫,Dùng ok. Sạc hít tốt vs các dòng hỗ trợ magsef,backup-charger
Xmobile 20W T156,530.000₫,"Sạc không dây rất chậm, có thể đổi trả sản phẩm hay không",backup-charger
Xmobile 20W T156,530.000₫,"sử dụng tốt, sạc nhanh, cầm khá vừa tay",backup-charger
Xmobile 20W T156,530.000₫,Dùng nóng và nhanh chai pin đt,backup-charger
Xmobile 20W T156,530.000₫,Sản phẩm sài tốt ạ,backup-charger
Xmobile 20W T156,530.000₫,Cũng được,backup-charger
Xmobile 20W T156,530.000₫,Bán cục sạc mà không có dây sạc phải tốn thêm tiền mua dây 80k .,backup-charger
Xmobile 20W T156,530.000₫,"Mình mới mua hồi chiều, về sạc pin hơn 5 tiếng rồi mà thấy chỉ lên 4 chấm đèn, bóng đèn thứ 5 k thấy sáng. Này là bị lỗi rồi phải không ạ",backup-charger
Xmobile 20W T156,530.000₫,Mua đc 1 ngày có đổi trả sang loại khác đc ko,backup-charger
Xmobile 20W T156,530.000₫,Sử dụng tốt,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Xmobile 20W T156,530.000₫,,backup-charger
Anker Nano 30W A1259 kèm cáp Type C,790.000₫,"Sạc nhanh, nhỏ gọn, tiện dùng",backup-charger
Anker Nano 30W A1259 kèm cáp Type C,790.000₫,On,backup-charger
